date,code
2007-07-06,600020
2007-07-06,600058
2007-07-06,600098
2007-07-06,600153
2007-07-06,600161
2007-07-06,600231
2007-07-06,600240
2007-07-06,600260
2007-07-06,600330
2007-07-06,600345
2007-07-06,600351
2007-07-06,600398
2007-07-06,600409
2007-07-06,600502
2007-07-06,600529
2007-07-06,600584
2007-07-06,600594
2007-07-06,600602
2007-07-06,600628
2007-07-06,600638
2007-07-06,600652
2007-07-06,600702
2007-07-06,600736
2007-07-06,600754
2007-07-06,600761
2007-07-06,600816
2007-07-06,600837
2007-07-06,600863
2007-07-06,600867
2007-07-06,600872
2007-07-06,600875
2007-07-06,600987
2007-07-06,600991
2007-07-06,16
2007-07-06,40
2007-07-06,59
2007-07-06,420
2007-07-06,488
2007-07-06,516
2007-07-06,528
2007-07-06,563
2007-07-06,572
2007-07-06,601
2007-07-06,609
2007-07-06,616
2007-07-06,677
2007-07-06,713
2007-07-06,815
2007-07-06,837
2007-07-06,861
2007-07-06,916
2007-07-06,917
2007-07-06,968
2007-07-06,969
2007-07-09,600020
2007-07-09,600058
2007-07-09,600098
2007-07-09,600153
2007-07-09,600161
2007-07-09,600231
2007-07-09,600240
2007-07-09,600260
2007-07-09,600330
2007-07-09,600345
2007-07-09,600351
2007-07-09,600398
2007-07-09,600409
2007-07-09,600502
2007-07-09,600529
2007-07-09,600584
2007-07-09,600594
2007-07-09,600602
2007-07-09,600628
2007-07-09,600638
2007-07-09,600652
2007-07-09,600702
2007-07-09,600736
2007-07-09,600754
2007-07-09,600761
2007-07-09,600816
2007-07-09,600837
2007-07-09,600863
2007-07-09,600867
2007-07-09,600872
2007-07-09,600875
2007-07-09,600987
2007-07-09,600991
2007-07-09,16
2007-07-09,40
2007-07-09,59
2007-07-09,420
2007-07-09,488
2007-07-09,516
2007-07-09,528
2007-07-09,563
2007-07-09,572
2007-07-09,601
2007-07-09,609
2007-07-09,616
2007-07-09,677
2007-07-09,713
2007-07-09,815
2007-07-09,837
2007-07-09,861
2007-07-09,916
2007-07-09,917
2007-07-09,968
2007-07-09,969
2007-07-10,600020
2007-07-10,600058
2007-07-10,600098
2007-07-10,600153
2007-07-10,600161
2007-07-10,600231
2007-07-10,600240
2007-07-10,600260
2007-07-10,600330
2007-07-10,600345
2007-07-10,600351
2007-07-10,600398
2007-07-10,600409
2007-07-10,600502
2007-07-10,600529
2007-07-10,600584
2007-07-10,600594
2007-07-10,600602
2007-07-10,600628
2007-07-10,600638
2007-07-10,600652
2007-07-10,600702
2007-07-10,600736
2007-07-10,600754
2007-07-10,600761
2007-07-10,600816
2007-07-10,600837
2007-07-10,600863
2007-07-10,600867
2007-07-10,600872
2007-07-10,600875
2007-07-10,600987
2007-07-10,600991
2007-07-10,16
2007-07-10,40
2007-07-10,59
2007-07-10,420
2007-07-10,488
2007-07-10,516
